Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-A2-A25E,0.123514982,0,0,0.023505561,0,0.276351023,0.02749282,0.063424524,0,0.025126109,0,0,0,0.025775967,0.114954268,0.19354395,0.056412962,0,0.069897835,0,0,0,0.04,0.153236039,1.021999388
TCGA-C8-A3M7,0.253966045,0,0.200198037,0.076596959,0,0.122134206,0,0.005398507,0.003942408,0.023955615,0,0.041390668,0.003295355,0.020984237,0.063844385,0.024600378,0.017843955,0,0.141849245,0,0,0,0,0.480638465,0.879519233
TCGA-D8-A1JG,0.018323198,0,0.093216886,0.063976547,0,0.216531896,0.046134363,0.049582263,0.011237242,0,0,0.028552507,0,0.118884363,0.084756917,0.187183939,0.006920967,0.017481808,0.057217105,0,0,0,0.01,0.201042608,1.000835939
TCGA-AO-A0JA,0.080088618,0,0.061591315,0.080190151,0,0.234048934,0.013616474,0.012657468,0.008256099,0,0.003309135,0,0.021817994,0.005554995,0.094698563,0.259227733,0.004060208,0.021513939,0.078588769,0,0,0.020779604,0.01,0.264204435,0.973718667
TCGA-A2-A4S0,0,0.048289074,0.01017067,0.088722622,0,0.177440419,0,0.011625166,0.044493372,0,0,0,0.050798336,0.085125936,0.012993063,0.191509056,0.03234626,0,0.241280415,0,0,0.005191001,0.12,0.108226394,1.03578998
TCGA-B6-A40C,0.002357844,0.014686749,0.006974829,0.126378278,0,0.222202575,0.005714157,0,0.066902768,0,0,0.018475403,0.013012462,0.050924218,0.093781979,0.253955549,0.010726267,0,0.113906921,0,0,0,0.12,0.109959815,1.041313289
TCGA-A8-A07G,0.044691066,0,0.003186598,0.099843395,0,0.142634741,0.015222069,0.03902027,0.023352033,0.01379886,0,0,0,0.244998774,0.097968672,0.175291815,0.016811133,0,0.082868556,0,0,0.0003,0.03,0.189432431,1.0122171
TCGA-BH-A0E1,0.161586044,0,0.222896597,0.157198738,0,0.279644684,0,0.002893754,0,0,0,0.017700353,0.016418086,0.011661928,0,0.087807361,0,0.030355266,0.01183719,0,0,0,0,0.477032265,0.882346222
TCGA-D8-A73X,0.05851312,0,0.038073955,0.04393905,0,0.045529945,0,0.035936366,0.011110345,0.016349565,0,0.011012976,0,0.381430987,0.033657412,0.197428266,0.015195785,0,0.111822228,0,0,0,0.01,0.324131495,0.960075816
TCGA-BH-A8FZ,0.089261929,0,0.017877064,0.050211335,0,0.168500812,0,0.049438731,0.027180216,0,0,0.002422967,0.012250409,0.223580727,0.04006741,0.099213183,0.081132435,0.046213933,0.092648848,0,0,0,0.01,0.26987,0.971848953
TCGA-E2-A14U,0.081636575,0,0.007902527,0.136437157,0,0.189317614,0,0.057854154,0,0,0.001360723,0.001773528,0.005785136,0.025517661,0.05539303,0.396022251,0.023107712,0,0.013329042,0.004562891,0,0,0.13,0.091878909,1.053386723
TCGA-BH-A0RX,0.037070441,0,0.01301733,0.186434415,0,0.128746289,0.070418716,0.070307237,0,0,0,0.033430254,0,0.133745775,0.161844203,0.080365343,0.012201644,0,0.072418354,0,0,0,0.13,0.103425658,1.055380705
TCGA-C8-A3M8,0.021757156,0,0,0.05453389,0,0.183565201,0.003651026,0.013168719,0.028605347,0,0.022515864,0,0,0.367728505,0.083683367,0.194316827,0,0,0.026474099,0,0,0,0.11,0.11156726,1.067283179
TCGA-D8-A27I,0.033357667,0,0.02001689,0.102144208,0,0.25668558,0.038222803,0.022024172,0.006339661,0.023411591,0,0,0,0.021278713,0.076477501,0.153837666,0.132774432,0,0.109748924,0,0,0.003680193,0.04,0.16355114,1.012934577
TCGA-C8-A12K,0.021809904,0.011668592,0,0.082929381,0,0.116810695,0.036951655,0.045032855,0.036192626,0.028260129,0,0.06154966,0,0.231828362,0.164709745,0.070512972,0.018886052,0,0.06874185,0,0,0.004115521,0.01,0.224881237,1.003181553
TCGA-AR-A24L,0.105036414,0,0.054998308,0.050215159,0,0.086734729,0.007594763,0.020401393,0.010066274,0.003095441,0,0.00512417,0,0.284817113,0.049921269,0.211088919,0.003847187,0,0.103919251,0,0,0.003139611,0.03,0.185325468,1.01614211
TCGA-EW-A1P0,0.033499384,0,0.003315224,0.094482846,0,0.176090496,0.027775915,0.081429372,0.024951517,0.00887328,0,0,0,0.267216069,0.091855787,0.12953005,0.035401265,0,0.025578796,0,0,0,0.01,0.219287785,1.003262139
TCGA-B6-A0RV,0.055610069,0,0.05449829,0.178220206,0,0.13314782,0.024180184,0.019430055,0.069825245,0,0,0.013924525,0.005184292,0.188802355,0.074768377,0.093036508,0.017025598,0,0.072346477,0,0,0,0.01,0.274755775,0.972269438
TCGA-A2-A0EX,0.077583626,0,0.019241304,0.043717594,0,0.217242956,0,0.004661294,0.02467758,0.00575905,0,0.028946022,0,0.255550407,0.042657958,0.10123742,0.002593705,0,0.176131082,0,0,0,0.67,-0.0072,1.087440007
TCGA-PE-A5DD,0.073788994,0,0.01525132,0.235190247,0,0.266399872,0.003570953,0.054449592,0.025052042,0,0,0.015455659,0.00174197,0.057761476,0.08952852,0.065946573,0.00129873,0,0.094564053,0,0,0,0.03,0.181044671,1.029644061
TCGA-E9-A22H,0.023089781,0,0.003212825,0.061529269,0,0.15061297,0.043853892,0.011773688,0.005339314,0.120760659,0,0,0,0.056512746,0.159327757,0.164700568,0.038870695,0,0.160415835,0,0,0,0.01,0.208001755,1.002793846
TCGA-A8-A0A2,0.034222801,0,0.072855325,0.164665426,0,0.24036851,0,0.047401419,0.013598091,0,0,0,0.086015231,0,0.076246207,0.192690784,0.005995361,0,0.065940846,0,0,0,0.03,0.183785807,1.011079585
TCGA-AR-A24Z,0.03429451,0,0.005872829,0.028809096,0,0.10922642,0.017186532,0.033771182,0.012251899,0.012446404,0,0,0,0.351858519,0.035850318,0.330379656,0,0,0.026973751,0,0,0.001078885,0.02,0.192278906,1.034809129
TCGA-OK-A5Q2,0.158758279,0,0.067953618,0.099293476,0,0.18826163,0.003515618,0.02192766,0.087617279,0.017087487,0,0.031392174,0,0.089283047,0.050572542,0.052629368,0.066841541,0,0.0585929,0,0,0.006273382,0,0.451887484,0.891368044
TCGA-A2-A0EP,0.100305279,0,0.013508218,0.054091492,0,0.111118567,0.057659415,0.05532294,0.035929677,0.021809466,0,0.00545018,0.016867167,0.235864776,0.034687276,0.085699237,0.12325671,0.011871369,0.036558231,0,0,0,0,0.495200856,0.872974573
TCGA-A7-A26H,0.056481906,0,0.008164554,0.07731395,0,0.127684483,0.019159098,0.055811633,0.004525611,0.003314232,0,0.006164614,0,0.317374475,0.116455152,0.137023763,0.013825176,0,0.056701352,0,0,0,0.01,0.207396293,1.011052336
TCGA-A2-A0SY,0.121257607,0,0.060369087,0.075588711,0,0.257394404,0.009604338,0.036922513,0.027983611,0.001769475,0,0.021859171,0.00851409,0.049681768,0.071592131,0.123431422,0.032161729,0,0.100831662,0,0,0.001038281,0.01,0.389632918,0.920587058
TCGA-BH-A8G0,0.128808556,0,0.030030658,0.051549939,0,0.081724442,0.004936023,0.00822485,0.036576599,0,0,0.03690971,0,0.396692252,0.025902862,0.104806801,0,0,0.093837308,0,0,0,0,0.706801918,0.743268488
TCGA-AR-A2LM,0.057137001,0,0.014941159,0.126799135,0,0.202472116,0,0.046542101,0,0.008037443,0,0.015049049,0.044742073,0.00567098,0.077188413,0.104571568,0.055740429,0,0.241108534,0,0,0,0.01,0.211438068,0.997002187
TCGA-A8-A07O,0.0335627,0,0.009949767,0.060145534,0,0.06683567,0.033636904,0.022948104,0.022325682,0,0,0.011345956,0,0.663973924,0.023898649,0.042225937,0,0.008776948,0.0004,0,0,0,0.01,0.296086082,1.016016637
TCGA-A2-A0ET,0.061616322,0,0.037897143,0.17858702,0,0.191330163,0.019590498,0.050942022,0.01245032,0.001377559,0,0.040795303,0.059334274,0,0.060548752,0.164290533,0.111629856,0,0.009610235,0,0,0,0.04,0.146442993,1.026362846
TCGA-A1-A0SH,0.087281778,0,0.062753749,0.013993101,0,0.203185626,0,0.004215569,0,0.002693911,0,0,0,0.192851524,0.048456321,0.202613044,0.007864302,0,0.170105884,0,0,0.003985191,0.01,0.251603625,0.980622339
TCGA-AO-A125,0,0,0.001079789,0,0,0.054792792,0,0.144268202,0,0,0.005874172,0.028658378,0.002179533,0.315978566,0.0031183,0.288641706,0,0.094280498,0.061128065,0,0,0,0.18,0.073996537,1.081878096
TCGA-BH-A18K,0.132147011,0,0.162314494,0.055815204,0,0.213408442,0,0,0,0,0,0.011586489,0.002537718,0.028221072,0.026851642,0.197381826,0.062048142,0.001098201,0.106589759,0,0,0,0.01,0.39585057,0.918820668
